thisN,thisTrialN,thisRepN,StimulusLinkButton.numClicks,StimulusLinkButton.timesOn,StimulusLinkButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,StimulusLink.started,InstructionText.started,StimulusLinkButton.started,StimulusLink.stopped,WithinSubjects.StimulusLinkButton.numClicks,WithinSubjects.StimulusLinkButton.timesOn,WithinSubjects.StimulusLinkButton.timesOff,ScreenshotOrderTask.started,ScreenshotOrderTask.stopped,WordListInstructions.started,WordListInstructions.stopped,WordListStudy.started,WordListStudy.stopped,DistractionTask.started,DistractionTask.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,True,0.0119117998983711,0.0203702999278903,0.0203702999278903,1.6771292999619618,1,[1.6564906000858173],[1.6564985000295565],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6783133998978883,1.694758899975568,1.694758899975568,1.694758899975568,2.7532923999242485,1,[1.0440239000599831],[1.0440314000006765],0,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
0,0,0,1,[1.170399000053294],[1.170406399993226],0,0,0,0,0,0,0,0,,,,,3.945020899991505,,,,,,,,,,,,,,,,,,,,,2.7542027999879792,2.7635306998854503,2.7635306998854503,3.934150699991733,1,[1.170399000053294],[1.170406399993226],3.9348938999464735,3.934948799898848,,,,,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
1,0,1,1,[1.170399000053294],[1.170406399993226],0,0,0,0,1,0,1,0,,,,,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.935032399953343,3.9350637999596074,,,,,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
0,0,0,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,0,0,0,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9358870999421924,3.935937999980524,3.9361305999336764,3.936166699975729,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
1,0,1,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,1,0,1,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936252799932845,3.9362841999391094,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
2,0,2,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,2,0,2,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9363566999090835,3.9363857998978347,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
3,0,3,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,3,0,3,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9364543999545276,3.93650639988482,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
4,0,4,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,4,0,4,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936576799955219,3.9366063999477774,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
5,0,5,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,5,0,5,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936670699971728,3.9366975999437273,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
6,0,6,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,6,0,6,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9367637999821454,3.936791199957952,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
7,0,7,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,7,0,7,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936855799984187,3.9368816999485716,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
8,0,8,1,[1.170399000053294],[1.170406399993226],0,0,0,0,,,,,8,0,8,0,3.945020899991505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936945099965669,3.9369710999308154,,,,,,,pilot,001,2026-03-06_14h04.49.544,experiment,,2026.1.1,142.51896584749875,2026-03-06 14h04.49.778276 -0500,
