thisN,thisTrialN,thisRepN,StimulusLinkButton.numClicks,StimulusLinkButton.timesOn,StimulusLinkButton.timesOff,ScreenshotLeftButton.numClicks,ScreenshotLeftButton.timesOn,ScreenshotLeftButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,StimulusLink.started,InstructionText.started,StimulusLinkButton.started,StimulusLink.stopped,WithinSubjects.StimulusLinkButton.numClicks,WithinSubjects.StimulusLinkButton.timesOn,WithinSubjects.StimulusLinkButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotLeftButton.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotLeftButton.numClicks,ScreenshotOrderTrial.ScreenshotLeftButton.timesOn,ScreenshotOrderTrial.ScreenshotLeftButton.timesOff,WordListInstructions.started,WordListInstructions.stopped,WordListStudy.started,WordListStudy.stopped,DistractionTask.started,DistractionTask.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,True,0.01122009998653084,0.022304699989035726,0.022304699989035726,1.2274578999495134,1,[1.2049022000283003],[1.204909999971278],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2284035999327898,1.23776699998416,1.23776699998416,1.23776699998416,2.5035347999073565,1,[1.2520229000365362],[1.2520289000822231],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
0,0,0,1,[5.677818300086074],[5.677825400023721],1,[10.24300419993233],[10.243011299986392],0,0,0,0,0,0,0,0,,,,,8.203936200006865,,,,,,,,,,,,,,,,,,,,,2.5043911999091506,2.5151408999226987,2.5151408999226987,8.193232599995099,1,[5.677818300086074],[5.677825400023721],8.194080899935216,8.203936200006865,8.203936200006865,8.203936200006865,10.243191099958494,1,[10.24300419993233],[10.243011299986392],,,,,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
1,0,1,1,[5.677818300086074],[5.677825400023721],1,[10.789891899912618],[10.789897399954498],0,0,0,0,1,0,1,0,,,,,10.252684799954295,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.243492599925958,10.252684799954295,10.252684799954295,10.252684799954295,10.790064599947073,1,[10.789891899912618],[10.789897399954498],,,,,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
0,0,0,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,0,0,0,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.791041699936613,10.791094199987128,10.791313099907711,10.791347999940626,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
1,0,1,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,1,0,1,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.791427499963902,10.791454599937424,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
2,0,2,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,2,0,2,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.791518199956045,10.791542399907485,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
3,0,3,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,3,0,3,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.791602799901739,10.791626499965787,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
4,0,4,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,4,0,4,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79168479994405,10.79170899989549,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
5,0,5,1,[5.677818300086074],[5.677825400023721],,,,0,0,0,0,,,,,5,0,5,0,10.801008899929002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79176729999017,10.791789899929427,,,,,,,pilot,001,2026-03-06_14h08.12.106,experiment,,2026.1.1,141.90032910736343,2026-03-06 14h08.12.475584 -0500,
