thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,StimulusLinkButton.numClicks,StimulusLinkButton.timesOn,StimulusLinkButton.timesOff,ScreenshotLeftButton.numClicks,ScreenshotLeftButton.timesOn,ScreenshotLeftButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,StimulusLink.started,InstructionText.started,StimulusLinkButton.started,StimulusLink.stopped,WithinSubjects.StimulusLinkButton.numClicks,WithinSubjects.StimulusLinkButton.timesOn,WithinSubjects.StimulusLinkButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotLeftButton.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotLeftButton.numClicks,ScreenshotOrderTrial.ScreenshotLeftButton.timesOn,ScreenshotOrderTrial.ScreenshotLeftButton.timesOff,WordListInstructions.started,WordListInstructions.stopped,WordListStudy.started,WordListStudy.stopped,DistractionTask.started,DistractionTask.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,True,0.008493900066241622,0.013959100004285574,0.013959100004285574,1.0719897000817582,1,[1.057859200052917],[1.0578631999669597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0725956000387669,1.083499800064601,1.083499800064601,1.083499800064601,2.0800297000678256,1,[0.9879305999493226],[0.9879343999782577],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
0,0,0,new1.png,old1.png,1,[1.4051189000019804],[1.4051229000324383],1,[8.697418999974616],[8.697422800003551],0,0,0,0,0,0,0,0,,,,,3.5077043999917805,,,,,,,,,,,,,,,,,,,,,2.0805911000352353,2.090323199983686,2.090323199983686,3.4955658999970183,1,[1.4051189000019804],[1.4051229000324383],3.501709399977699,3.5077043999917805,3.5077043999917805,3.5077043999917805,8.69753220002167,1,[8.697418999974616],[8.697422800003551],,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
1,1,0,new2.png,old2.png,1,[1.4051189000019804],[1.4051229000324383],1,[9.586260000010952],[9.586263100034557],0,0,0,0,0,1,1,1,,,,,8.702680899994448,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.697731800028123,8.702680899994448,8.702680899994448,8.702680899994448,9.5863630999811,1,[9.586260000010952],[9.586263100034557],,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
2,0,1,new1.png,old1.png,1,[1.4051189000019804],[1.4051229000324383],1,[9.933476299978793],[9.93348160001915],0,0,0,0,1,0,2,0,,,,,9.591908600064926,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.586567600024864,9.591908600064926,9.591908600064926,9.591908600064926,9.933672000071965,1,[9.933476299978793],[9.93348160001915],,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
3,1,1,new2.png,old2.png,1,[1.4051189000019804],[1.4051229000324383],1,[10.440683800028637],[10.440687200054526],0,0,0,0,1,1,3,1,,,,,9.939234100049362,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.933937299996614,9.939234100049362,9.939234100049362,9.939234100049362,10.44077800004743,1,[10.440683800028637],[10.440687200054526],,,,,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
0,0,0,,,1,[1.4051189000019804],[1.4051229000324383],,,,0,0,0,0,,,,,0,0,0,0,10.445865400019102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44149350002408,10.441523300018162,10.441632400033996,10.441651200060733,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
1,0,1,,,1,[1.4051189000019804],[1.4051229000324383],,,,0,0,0,0,,,,,1,0,1,0,10.445865400019102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.441697200061753,10.441713800071739,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
2,0,2,,,1,[1.4051189000019804],[1.4051229000324383],,,,0,0,0,0,,,,,2,0,2,0,10.445865400019102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.441753700026311,10.44176850002259,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
3,0,3,,,1,[1.4051189000019804],[1.4051229000324383],,,,0,0,0,0,,,,,3,0,3,0,10.445865400019102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.441805700073019,10.44182060007006,,,,,,,pilot,001,2026-03-07_12h06.20.244,experiment,,2026.1.1,144.53206311419675,2026-03-07 12h06.20.545784 -0500,
