thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,DistractionTask.started,DistractionTask.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.008389200083911419,0.013985200086608529,0.013985200086608529,0.592268000007607,1,[0.5781322000548244],[0.5781364000868052],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5928341000108048,0.5973555999808013,0.5973555999808013,0.5973555999808013,1.064607199979946,1,[0.45958600006997585],[0.45958960009738803],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
0,0,0,new2.png,old2.png,1,[0.46774390002246946],[0.4677482999395579],[0.16166666666666665],[-0.08666666666666667],[1],[0],[0],[0.42751820001285523],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,1.5489178000716493,,,,,,,,,,,,,,,,,,,,,1.0651017000200227,1.0691700000315905,1.0691700000315905,1.5370410999748856,1,[0.46774390002246946],[0.4677482999395579],1.5409598000114784,1.5489178000716493,1.5489178000716493,0.00388029997702688,1.9685926000820473,[0.16166666666666665],[-0.08666666666666667],[1],[0],[0],[0.42751820001285523],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
1,1,0,new1.png,old1.png,1,[0.46774390002246946],[0.4677482999395579],[0.445],[-0.021666666666666667],[1],[0],[0],[0.6661503999494016],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,1.9729011000599712,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9687784999841824,1.9729011000599712,1.9729011000599712,0.00011560006532818079,2.6350436999928206,[0.445],[-0.021666666666666667],[1],[0],[0],[0.6661503999494016],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
2,0,1,new2.png,old2.png,1,[0.46774390002246946],[0.4677482999395579],[-0.04],[0.17],[1],[0],[0],[0.624663700000383],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,0,2,1,,,,,2.639490499976091,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.635245500016026,2.639490499976091,2.639490499976091,0.00012069998774677515,3.260027499985881,[-0.04],[0.17],[1],[0],[0],[0.624663700000383],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
3,1,1,new1.png,old1.png,1,[0.46774390002246946],[0.4677482999395579],[0.12],[0.15166666666666667],[1],[0],[0],[0.5200109999859706],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,1,3,0,,,,,3.2649630000814795,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.260226499987766,3.2649630000814795,3.2649630000814795,0.00012310000602155924,3.780345599981956,[0.12],[0.15166666666666667],[1],[0],[0],[0.5200109999859706],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
0,0,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,apple,banana,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,0,0,0,0,6.952130299992859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7816412000684068,3.7919472000794485,3.7919472000794485,6.939829400042072,1,[3.1477673000190407],[3.1477708000456914],6.943683800054714,6.952130299992859,7.939938900060952,,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
1,1,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,muffin,cupcake,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,0,1,1,1,7.945771099999547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.941546200076118,7.945771099999547,8.932948100031354,8.938810500083491,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
2,2,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,orange,tangerine,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,0,2,2,2,8.938810500083491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.934369400027208,8.938810500083491,9.925896400003694,9.931712400051765,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
3,3,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,cat,dog,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,0,3,3,3,9.931712400051765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92699409998022,9.931712400051765,10.919175900053233,10.924894000054337,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
4,4,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,pizza,beer,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,0,4,4,4,10.924894000054337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.922516799997538,10.931941300048493,11.919828200014308,11.924997800029814,,,,,,,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
0,0,0,,,1,[0.46774390002246946],[0.4677482999395579],,,,,,,,,,,1,[3.1477673000190407],[3.1477708000456914],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.920549600035883,11.92058180004824,11.920594500028528,11.920614400063641,11.920623400015756,11.920639800024219,pilot,001,2026-03-07_12h27.35.678,experiment,,2026.1.1,145.23821960575916,2026-03-07 12h27.35.812591 -0500,
