thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudyText.stopped,WordListStudy.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.005706500029191375,0.01141750009264797,0.01141750009264797,0.6455165999941528,1,[0.633959099999629],[0.6339642000384629],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6461168000241742,0.6571407000301406,0.6571407000301406,0.6571407000301406,1.367788500036113,1,[0.7029657000675797],[0.702969100093469],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
0,0,0,new2.png,old2.png,1,[0.4671440999954939],[0.4671473999042064],[0.18166666666666667],[-0.04666666666666667],[1],[0],[0],[0.4828323998954147],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,1.8521129000000656,,,,,,,,,,,,,,,,,,,,,1.3683449000818655,1.3725012000650167,1.3725012000650167,1.8397491000359878,1,[0.4671440999954939],[0.4671473999042064],1.844252600101754,1.8521129000000656,1.8521129000000656,0.0044667000183835626,2.3271893000928685,[0.18166666666666667],[-0.04666666666666667],[1],[0],[0],[0.4828323998954147],[0],['ScreenshotLeft'],,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
1,1,0,new1.png,old1.png,1,[0.4671440999954939],[0.4671473999042064],[0.30333333333333334],[-0.025],[1],[0],[0],[0.3674456999870017],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,2.331856600008905,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3273290999932215,2.331856600008905,2.331856600008905,8.610007353127003e-05,2.6948585000354797,[0.30333333333333334],[-0.025],[1],[0],[0],[0.3674456999870017],[0],['ScreenshotLeft'],,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
2,0,1,new1.png,old1.png,1,[0.4671440999954939],[0.4671473999042064],[0.2916666666666667],[-0.025],[1],[0],[0],[0.26327889994718134],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,0,2,0,,,,,2.6994132000254467,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6950020000804216,2.6994132000254467,2.6994132000254467,8.349993731826544e-05,2.958364700083621,[0.2916666666666667],[-0.025],[1],[0],[0],[0.26327889994718134],[0],['ScreenshotLeft'],,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
3,1,1,new2.png,old2.png,1,[0.4671440999954939],[0.4671473999042064],[0.2916666666666667],[-0.025],[1],[0],[0],[0.24268679996021092],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,1,3,1,,,,,2.9634502000408247,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9585292000556365,2.9634502000408247,2.9634502000408247,9.129999671131372e-05,3.201305399998091,[0.2916666666666667],[-0.025],[1],[0],[0],[0.24268679996021092],[0],['ScreenshotLeft'],,,,,,,,,,,,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
0,0,0,,,1,[0.4671440999954939],[0.4671473999042064],,,,,,,,,apple,banana,1,[1.2738360000075772],[1.2738398999208584],0,0,0,0,,,,,0,0,0,0,4.4978907000040635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202719800057821,3.2128066000295803,3.2128066000295803,4.48677509999834,1,[1.2738360000075772],[1.2738398999208584],4.491004900075495,4.4978907000040635,5.491604899987578,5.486022700089961,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
1,1,0,,,1,[0.4671440999954939],[0.4671473999042064],,,,,,,,,muffin,cupcake,1,[1.2738360000075772],[1.2738398999208584],0,0,0,0,,,,,0,1,1,1,5.491604899987578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.487374600023031,5.491604899987578,6.484361400012858,6.479080700082704,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
2,2,0,,,1,[0.4671440999954939],[0.4671473999042064],,,,,,,,,orange,tangerine,1,[1.2738360000075772],[1.2738398999208584],0,0,0,0,,,,,0,2,2,2,6.484361400012858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4804657000349835,6.484361400012858,7.478073200094514,7.473023100057617,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
3,3,0,,,1,[0.4671440999954939],[0.4671473999042064],,,,,,,,,cat,dog,1,[1.2738360000075772],[1.2738398999208584],0,0,0,0,,,,,0,3,3,3,7.478073200094514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4745855000801384,7.478073200094514,8.470489600091241,8.465572600020096,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
4,4,0,,,1,[0.4671440999954939],[0.4671473999042064],,,,,,,,,pizza,beer,1,[1.2738360000075772],[1.2738398999208584],0,0,0,0,,,,,0,4,4,4,8.470489600091241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.468005300033838,8.477644300088286,,9.465455900062807,pilot,001,2026-03-07_12h31.50.946,experiment,,2026.1.1,142.40429716378495,2026-03-07 12h31.51.086586 -0500,
