thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudyText.stopped,WordListStudy.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.004897600039839745,0.010669400100596249,0.010669400100596249,1.2205688999965787,1,[1.2097682000603527],[1.2097720999736339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2211866000434384,1.2265093000605702,1.2265093000605702,1.2265093000605702,1.673437500023283,1,[0.4391215000068769],[0.4391265999292955],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
0,0,0,new2.png,old2.png,1,[0.4610136999981478],[0.46101830003317446],[0.13166666666666665],[-0.12166666666666667],[1],[0],[0],[0.614293499966152],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,2.1569343000883237,,,,,,,,,,,,,,,,,,,,,1.6740133001003414,1.6842159000225365,1.6842159000225365,2.1455682000378147,1,[0.4610136999981478],[0.46101830003317446],2.1499649999896064,2.1569343000883237,2.1569343000883237,0.00435589998960495,2.7643676000880077,[0.13166666666666665],[-0.12166666666666667],[1],[0],[0],[0.614293499966152],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
1,1,0,new1.png,old1.png,1,[0.4610136999981478],[0.46101830003317446],[0.145],[-0.10833333333333334],[1],[0],[0],[0.21442930004559457],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,2.7682439000345767,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.764541700016707,2.7682439000345767,2.7682439000345767,0.00011080002877861261,2.9790680001024157,[0.145],[-0.10833333333333334],[1],[0],[0],[0.21442930004559457],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
2,0,1,new2.png,old2.png,1,[0.4610136999981478],[0.46101830003317446],[0.145],[-0.10833333333333334],[1],[0],[0],[0.16560090007260442],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,0,2,1,,,,,2.9840204000938684,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9792104000225663,2.9840204000938684,2.9840204000938684,8.660007733851671e-05,3.144897000049241,[0.145],[-0.10833333333333334],[1],[0],[0],[0.16560090007260442],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
3,1,1,new1.png,old1.png,1,[0.4610136999981478],[0.46101830003317446],[0.145],[-0.10833333333333334],[1],[0],[0],[0.1739711998961866],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,1,3,0,,,,,3.1502990000881255,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1450411000987515,3.1502990000881255,3.1502990000881255,8.809997234493494e-05,3.319127600057982,[0.145],[-0.10833333333333334],[1],[0],[0],[0.1739711998961866],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
0,0,0,,,1,[0.4610136999981478],[0.46101830003317446],,,,,,,,,apple,banana,1,[0.9319449999602512],[0.9319494999945164],0,0,0,0,,,,,0,0,0,0,4.274967600009404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3206166001036763,3.3309929000679404,3.3309929000679404,4.263074500020593,1,[0.9319449999602512],[0.9319494999945164],4.267404400045052,4.274967600009404,5.268273800029419,5.2630953000625595,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
1,1,0,,,1,[0.4610136999981478],[0.46101830003317446],,,,,,,,,muffin,cupcake,1,[0.9319449999602512],[0.9319494999945164],0,0,0,0,,,,,0,1,1,1,5.268273800029419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.264530200045556,5.268273800029419,6.261446200078353,6.2567306000273675,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
2,2,0,,,1,[0.4610136999981478],[0.46101830003317446],,,,,,,,,orange,tangerine,1,[0.9319449999602512],[0.9319494999945164],0,0,0,0,,,,,0,2,2,2,6.261446200078353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.258516800007783,6.261446200078353,7.25465230003465,7.2490089000202715,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
3,3,0,,,1,[0.4610136999981478],[0.46101830003317446],,,,,,,,,cat,dog,1,[0.9319449999602512],[0.9319494999945164],0,0,0,0,,,,,0,3,3,3,7.25465230003465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.250270700082183,7.25465230003465,8.247996999998577,8.242629999993369,,,,,,,,,pilot,001,2026-03-07_12h34.15.188,experiment,,2026.1.1,142.8145025444293,2026-03-07 12h34.15.321795 -0500,
