thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.009546099929139018,0.015290199895389378,0.015290199895389378,0.6630156999453902,1,[0.6475915000773966],[0.6475959001109004],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6636197000043467,0.6747885999502614,0.6747885999502614,0.6747885999502614,1.1293909999076277,1,[0.4465858999174088],[0.44659059995319694],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
0,0,0,new2.png,old2.png,1,[0.5648502999683842],[0.5648540999973193],[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.6214621000690386],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,1.7166526999790221,,,,,,,,,,,,,,,,,,,,,1.1299637999618426,1.1398660999257118,1.1398660999257118,1.704845399945043,1,[0.5648502999683842],[0.5648540999973193],1.7094155999366194,1.7166526999790221,1.7166526999790221,0.004534999956376851,2.330992699950002,[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.6214621000690386],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
1,1,0,new1.png,old1.png,1,[0.5648502999683842],[0.5648540999973193],[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.15831680002156645],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,2.3351051999488845,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3311823999974877,2.3351051999488845,2.3351051999488845,0.00011440005619078875,2.489601199980825,[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.15831680002156645],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
2,0,1,new2.png,old2.png,1,[0.5648502999683842],[0.5648540999973193],[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.1599790999898687],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,0,2,1,,,,,2.4947299999184906,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4897515999618918,2.4947299999184906,2.4947299999184906,9.089999366551638e-05,2.649825199972838,[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.1599790999898687],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
3,1,1,new1.png,old1.png,1,[0.5648502999683842],[0.5648540999973193],[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.15959900000598282],[0],['ScreenshotLeft'],,,,,,0,0,0,0,1,1,3,0,,,,,2.6544792999047786,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6499871999258175,2.6544792999047786,2.6544792999047786,9.640003554522991e-05,2.809681799961254,[0.20333333333333334],[-0.12166666666666667],[1],[0],[0],[0.15959900000598282],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
0,0,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,apple,banana,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,0,0,0,0,3.272089899983257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8109693999867886,2.8205614999169484,2.8205614999169484,3.2600100999698043,1,[0.4393320999806747],[0.4393354000058025],3.2637669999385253,3.272089899983257,4.260521299904212,,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
1,1,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,muffin,cupcake,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,0,1,1,1,4.265590299968608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.262260499992408,4.265590299968608,5.253044299897738,5.258606199990027,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
2,2,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,orange,tangerine,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,0,2,2,2,5.258606199990027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.254495300003327,5.258606199990027,6.246497499989346,6.251885199919343,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
3,3,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,cat,dog,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,0,3,3,3,6.251885199919343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.248072399990633,6.251885199919343,7.239265499985777,7.244685499928892,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
4,4,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,pizza,beer,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,0,4,4,4,7.244685499928892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.241208099992946,7.251880600000732,8.240141399903223,8.245348899974488,,,,,,,,,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
0,0,0,,,1,[0.5648502999683842],[0.5648540999973193],,,,,,,,,,,1,[0.4393320999806747],[0.4393354000058025],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.240913799963892,8.252332199946977,9.245395399979316,9.239833900006488,9.23985269991681,9.239877799991518,9.239890999975614,9.239911999902688,pilot,001,2026-03-07_12h35.52.486,experiment,,2026.1.1,144.09263444140583,2026-03-07 12h35.52.624638 -0500,
