thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.005350899999029934,0.01066030003130436,0.01066030003130436,0.5480443000560626,1,[0.5372473000315949],[0.5372515999479219],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548696200014092,0.5592948000412434,0.5592948000412434,0.5592948000412434,1.1385446999920532,1,[0.5706729999510571],[0.5706765999784693],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
0,0,0,new1.png,old1.png,1,[0.38409040006808937],[0.3841320000356063],[-0.065],[-0.18],[1],[0],[0],[3.0671260999515653],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,0,,,,,1.5458684000186622,,,,,,,,,,,,,,,,,,,,,1.1390670000109822,1.1423915000632405,1.1423915000632405,1.526722399983555,1,[0.38409040006808937],[0.3841320000356063],1.5374378999695182,1.5458684000186622,1.5458684000186622,0.010677399928681552,4.604672000044957,[-0.065],[-0.18],[1],[0],[0],[3.0671260999515653],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
1,1,0,new2.png,old2.png,1,[0.38409040006808937],[0.3841320000356063],[-0.06833333333333333],[-0.14333333333333334],[1],[0],[0],[0.5099781999597326],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,1,,,,,4.615617100032978,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.607798799988814,4.615617100032978,4.615617100032978,0.0030620999168604612,5.117873799987137,[-0.06833333333333333],[-0.14333333333333334],[1],[0],[0],[0.5099781999597326],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
0,0,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,apple,banana,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,0,0,0,0,5.629129800014198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.118990099988878,5.1291031000437215,5.1291031000437215,5.61720790003892,1,[0.4879600000567734],[0.48796450009103864],5.621304200030863,5.629129800014198,6.627296400023624,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
1,1,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,muffin,cupcake,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,0,1,1,1,6.637106299982406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.630961599992588,6.637106299982406,7.632087200065143,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
2,2,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,orange,tangerine,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,0,2,2,2,7.636792900040746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.633652499993332,7.636792900040746,8.624206200009212,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
3,3,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,cat,dog,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,0,3,3,3,8.629743700032122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.625509500037879,8.629743700032122,9.61720990005415,9.622711400035769,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
4,4,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,pizza,beer,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,0,4,4,4,9.622711400035769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.619303100043908,9.622711400035769,10.619756300002337,,,,,,,,,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
0,0,0,,,1,[0.38409040006808937],[0.3841320000356063],,,,,,,,,,,1,[0.4879600000567734],[0.48796450009103864],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.621094200061634,10.631117800017819,11.617635800037533,11.617660199990496,11.61769640003331,11.617709000012837,11.61772890004795,pilot,001,2026-03-07_12h46.14.581,experiment,,2026.1.1,143.61584475957943,2026-03-07 12h46.14.718783 -0500,
