thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,ScreenshotInstructionsKeyboard.keys,ScreenshotInstructionsKeyboard.rt,ScreenshotInstructionsKeyboard.duration,ScreenshotKeyboard.keys,ScreenshotKeyboard.rt,ScreenshotKeyboard.duration,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotInstructions.started,ScreenshotInstructionsText.started,ScreenshotInstructionsKeyboard.started,ScreenshotInstructions.stopped,WithinSubjects.ScreenshotInstructionsKeyboard.keys,WithinSubjects.ScreenshotInstructionsKeyboard.rt,WithinSubjects.ScreenshotInstructionsKeyboard.duration,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotKeyboard.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotKeyboard.keys,ScreenshotOrderTrial.ScreenshotKeyboard.rt,ScreenshotOrderTrial.ScreenshotKeyboard.duration,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.007601900026202202,0.013511399971321225,0.013511399971321225,1.4488010000204667,space,1.3669779000338167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45008749992121,1.4581242999993265,1.4581242999993265,1.4581242999993265,2.9539807999972254,1,[1.488850999972783],[1.488855200004764],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
0,0,0,new1.jpg,old1.jpg,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,a,0.6579735999694094,None,,,,,,0,0,0,0,0,0,0,0,,,,,8.250523300026543,,,,,,,,,,,,,,,,,,,,,2.9545409999554977,2.964669800014235,2.964669800014235,3.94040279998444,1,[0.9756201000418514],[0.9756241000723094],3.940465599996969,3.9446134999161586,3.9446134999161586,8.224461899953894,space,4.279581099981442,None,8.245851999963634,8.250523300026543,8.250523300026543,8.250523300026543,8.912104899995029,a,0.6579735999694094,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
1,1,0,new2.jpg,old2.jpg,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,a,0.5123585000401363,None,,,,,,0,0,0,0,0,1,1,1,,,,,8.931217900011688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.924455599975772,8.931217900011688,8.931217900011688,8.931217900011688,9.447156599955633,a,0.5123585000401363,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
0,0,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,apple,banana,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,0,0,0,0,11.215650199912488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.448249500012025,9.458513699937612,9.458513699937612,11.204139199922793,1,[1.7454585999948904],[1.7454628000268713],11.208782800007612,11.215650199912488,12.204251099959947,,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
1,1,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,muffin,cupcake,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,0,1,1,1,12.209332500002347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20561629999429,12.209332500002347,13.197520399931818,13.202734399936162,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
2,2,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,orange,tangerine,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,0,2,2,2,13.202734399936162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.198901299969293,13.202734399936162,14.190087899914943,14.195568399969488,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
3,3,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,cat,dog,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,0,3,3,3,14.195568399969488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.191345899947919,14.195568399969488,15.183973699924536,15.195231699966826,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
4,4,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,pizza,beer,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,0,4,4,4,15.195231699966826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.186496199923567,15.202743700006977,16.19090329995379,16.19592189998366,,,,,,,,,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
0,0,0,,,1,[0.9756201000418514],[0.9756241000723094],space,4.279581099981442,None,,,,,,1,[1.7454585999948904],[1.7454628000268713],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.191831599920988,16.19592189998366,17.18921819992829,17.183799999998882,17.18381890002638,17.18384509999305,17.183856999967247,17.183875899994746,pilot,001,2026-03-07_13h29.25.968,experiment,,2026.1.1,143.53174203497576,2026-03-07 13h29.26.222403 -0500,
