thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsKeyboard.keys,VideoInstructionsKeyboard.rt,VideoInstructionsKeyboard.duration,ScreenshotInstructionsKeyboard.keys,ScreenshotInstructionsKeyboard.rt,ScreenshotInstructionsKeyboard.duration,ScreenshotKeyboard.keys,ScreenshotKeyboard.rt,ScreenshotKeyboard.duration,FirstList,SecondList,WordListInstructionsKeyboard.keys,WordListInstructionsKeyboard.rt,WordListInstructionsKeyboard.duration,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,ConditionSelectionKeyboard.started,ConditionSelection.stopped,ConditionSelectionKeyboard.keys,ConditionSelectionKeyboard.rt,ConditionSelectionKeyboard.duration,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsKeyboard.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsKeyboard.keys,WithinSubjects.VideoInstructionsKeyboard.rt,WithinSubjects.VideoInstructionsKeyboard.duration,ScreenshotInstructions.started,ScreenshotInstructionsText.started,ScreenshotInstructionsKeyboard.started,ScreenshotInstructions.stopped,WithinSubjects.ScreenshotInstructionsKeyboard.keys,WithinSubjects.ScreenshotInstructionsKeyboard.rt,WithinSubjects.ScreenshotInstructionsKeyboard.duration,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotKeyboard.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotKeyboard.keys,ScreenshotOrderTrial.ScreenshotKeyboard.rt,ScreenshotOrderTrial.ScreenshotKeyboard.duration,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsKeyboard.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsKeyboard.keys,WithinSubjects.WordListInstructionsKeyboard.rt,WithinSubjects.WordListInstructionsKeyboard.duration,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.004938800004310906,0.010818299953825772,0.010818299953825772,1.1263138999929652,space,1.1100465999916196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1263420999748632,1.1361192000331357,1.1361192000331357,2.6935515999794006,a,1.5508256999310106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
0,0,0,new1.jpg,old1.jpg,space,1.2601169999688864,None,space,0.47884009999688715,None,a,0.46259670006111264,None,,,,,,0,0,0,0,0,0,0,0,,,,,4.4763717999449,,,,,,,,,,,,,,,,,2.7011226000031456,2.704861299949698,2.704861299949698,3.9710566999856383,space,1.2601169999688864,None,3.971089500002563,3.976615999941714,3.976615999941714,4.4582081999396905,space,0.47884009999688715,None,4.468218400026672,4.4763717999449,4.4763717999449,4.4763717999449,4.943506799987517,a,0.46259670006111264,None,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
1,1,0,new2.jpg,old2.jpg,space,1.2601169999688864,None,space,0.47884009999688715,None,a,0.2586743999272585,None,,,,,,0,0,0,0,0,1,1,1,,,,,4.955747899948619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.945908099994995,4.955747899948619,4.955747899948619,4.955747899948619,5.21496659994591,a,0.2586743999272585,None,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
0,0,0,,,space,1.2601169999688864,None,space,0.47884009999688715,None,,,,apple,banana,space,0.4885041998932138,None,0,0,0,0,,,,,0,0,0,0,5.726473700022325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.215603100019507,5.2200026999926195,5.2200026999926195,5.714220099966042,space,0.4885041998932138,None,5.718233400024474,5.726473700022325,6.71503359999042,,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
1,1,0,,,space,1.2601169999688864,None,space,0.47884009999688715,None,,,,muffin,cupcake,space,0.4885041998932138,None,0,0,0,0,,,,,0,1,1,1,6.720107199973427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7163690000306815,6.720107199973427,7.708220899919979,7.713204899919219,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
2,2,0,,,space,1.2601169999688864,None,space,0.47884009999688715,None,,,,orange,tangerine,space,0.4885041998932138,None,0,0,0,0,,,,,0,2,2,2,7.713204899919219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.709785499959253,7.713204899919219,8.700788200017996,8.706658200011589,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
3,3,0,,,space,1.2601169999688864,None,space,0.47884009999688715,None,,,,cat,dog,space,0.4885041998932138,None,0,0,0,0,,,,,0,3,3,3,8.706658200011589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.702133600017987,8.706658200011589,9.693497899919748,9.69922750000842,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
4,4,0,,,space,1.2601169999688864,None,space,0.47884009999688715,None,,,,pizza,beer,space,0.4885041998932138,None,0,0,0,0,,,,,0,4,4,4,9.69922750000842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.695837799925357,9.706633199937642,10.693610699963756,10.6993612999795,,,,,,,,pilot,001,2026-03-07_15h31.34.092,experiment,,2026.1.1,144.52684088381034,2026-03-07 15h31.34.200210 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.69420759996865,10.706754799932241,,11.693608499947004,11.693624599953182,11.693643699982204,11.693654499948025,,,,,,,,,
