thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsKeyboard.keys,VideoInstructionsKeyboard.rt,VideoInstructionsKeyboard.duration,ScreenshotInstructionsKeyboard.keys,ScreenshotInstructionsKeyboard.rt,ScreenshotInstructionsKeyboard.duration,ScreenshotKeyboard.keys,ScreenshotKeyboard.rt,ScreenshotKeyboard.duration,FirstList,SecondList,WordListInstructionsKeyboard.keys,WordListInstructionsKeyboard.rt,WordListInstructionsKeyboard.duration,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,ConditionSelectionKeyboard.started,ConditionSelection.stopped,ConditionSelectionKeyboard.keys,ConditionSelectionKeyboard.rt,ConditionSelectionKeyboard.duration,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsKeyboard.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsKeyboard.keys,WithinSubjects.VideoInstructionsKeyboard.rt,WithinSubjects.VideoInstructionsKeyboard.duration,ScreenshotInstructions.started,ScreenshotInstructionsText.started,ScreenshotInstructionsKeyboard.started,ScreenshotInstructions.stopped,WithinSubjects.ScreenshotInstructionsKeyboard.keys,WithinSubjects.ScreenshotInstructionsKeyboard.rt,WithinSubjects.ScreenshotInstructionsKeyboard.duration,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotKeyboard.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotKeyboard.keys,ScreenshotOrderTrial.ScreenshotKeyboard.rt,ScreenshotOrderTrial.ScreenshotKeyboard.duration,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsKeyboard.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsKeyboard.keys,WithinSubjects.WordListInstructionsKeyboard.rt,WithinSubjects.WordListInstructionsKeyboard.duration,WordListStudy.started,WordListStudyText.started,WordListStudyText.stopped,WordListStudy.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.009304500068537891,0.015381200006231666,0.015381200006231666,0.8733013001037762,space,0.8503778000595048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8733273000689223,0.8834084999980405,0.8834084999980405,1.7262669000774622,d,0.8412803000537679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
0,0,0,new2.jpg,old2.jpg,space,0.6261359000345692,None,space,0.6728472999529913,None,a,0.5477241999469697,None,,,,,,0,0,0,0,0,0,0,1,,,,,3.0639443000545725,,,,,,,,,,,,,,,,,1.7332390000810847,1.7373758000321686,1.7373758000321686,2.364999300101772,space,0.6261359000345692,None,2.3650366000365466,2.3700769999995828,2.3700769999995828,3.044983300031163,space,0.6728472999529913,None,3.0555111001012847,3.0639443000545725,3.0639443000545725,3.0639443000545725,3.614712500013411,a,0.5477241999469697,None,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
1,1,0,new1.jpg,old1.jpg,space,0.6261359000345692,None,space,0.6728472999529913,None,a,0.1747895999578759,None,,,,,,0,0,0,0,0,1,1,0,,,,,3.6267273999983445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61698090005666,3.6267273999983445,3.6267273999983445,3.6267273999983445,3.8027991000562906,a,0.1747895999578759,None,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
0,0,0,,,space,0.6261359000345692,None,space,0.6728472999529913,None,,,,apple,banana,space,0.6585610000183806,None,0,0,0,0,,,,,0,0,0,0,4.480728600057773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8037207000888884,3.8074633000651374,3.8074633000651374,4.469353700056672,space,0.6585610000183806,None,4.473272000090219,4.480728600057773,5.474105000030249,5.4688256999943405,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
1,1,0,,,space,0.6261359000345692,None,space,0.6728472999529913,None,,,,muffin,cupcake,space,0.6585610000183806,None,0,0,0,0,,,,,0,1,1,1,5.474105000030249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.470182400080375,5.474105000030249,6.467258400050923,6.461892300052568,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
2,2,0,,,space,0.6261359000345692,None,space,0.6728472999529913,None,,,,orange,tangerine,space,0.6585610000183806,None,0,0,0,0,,,,,0,2,2,2,6.467258400050923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.463162900065072,6.467258400050923,7.460357300005853,7.4559330000774935,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
3,3,0,,,space,0.6261359000345692,None,space,0.6728472999529913,None,,,,cat,dog,space,0.6585610000183806,None,0,0,0,0,,,,,0,3,3,3,7.460357300005853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.457522300072014,7.460357300005853,8.460516400053166,8.449133400106803,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
4,4,0,,,space,0.6261359000345692,None,space,0.6728472999529913,None,,,,pizza,beer,space,0.6585610000183806,None,0,0,0,0,,,,,0,4,4,4,8.460516400053166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45158790005371,8.46779400005471,9.461174000054598,9.45502310001757,,,,,,,,pilot,001,2026-03-07_15h32.50.076,experiment,,2026.1.1,144.27953283604452,2026-03-07 15h32.50.179053 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.455594800063409,9.461174000054598,,10.448731000069529,10.448747200076468,10.448766500107013,10.448777200072072,,,,,,,,,
