thisN,thisTrialN,thisRepN,Condition1Left,Condition1Right,Correct,VideoInstructionsKeyboard.keys,VideoInstructionsKeyboard.rt,VideoInstructionsKeyboard.duration,ScreenshotInstructionsKeyboard.keys,ScreenshotInstructionsKeyboard.rt,ScreenshotInstructionsKeyboard.duration,ScreenshotKeyboard.keys,ScreenshotKeyboard.rt,ScreenshotKeyboard.duration,FirstList,SecondList,WordListInstructionsKeyboard.keys,WordListInstructionsKeyboard.rt,WordListInstructionsKeyboard.duration,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,ConditionSelectionKeyboard.started,ConditionSelection.stopped,ConditionSelectionKeyboard.keys,ConditionSelectionKeyboard.rt,ConditionSelectionKeyboard.duration,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsKeyboard.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsKeyboard.keys,WithinSubjects.VideoInstructionsKeyboard.rt,WithinSubjects.VideoInstructionsKeyboard.duration,ScreenshotInstructions.started,ScreenshotInstructionsText.started,ScreenshotInstructionsKeyboard.started,ScreenshotInstructions.stopped,WithinSubjects.ScreenshotInstructionsKeyboard.keys,WithinSubjects.ScreenshotInstructionsKeyboard.rt,WithinSubjects.ScreenshotInstructionsKeyboard.duration,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotKeyboard.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotKeyboard.keys,ScreenshotOrderTrial.ScreenshotKeyboard.rt,ScreenshotOrderTrial.ScreenshotKeyboard.duration,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsKeyboard.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsKeyboard.keys,WithinSubjects.WordListInstructionsKeyboard.rt,WithinSubjects.WordListInstructionsKeyboard.duration,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTestForm.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.016832799999974668,0.02413100004196167,0.02413100004196167,0.9128118000226095,space,0.8795752000296488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9128392999991775,0.9203875000821427,0.9203875000821427,2.227869600057602,a,1.3062588000902906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
0,0,0,new1.jpg,old1.jpg,Right,space,0.8998919000150636,None,space,0.6034898000070825,None,a,0.5532916000811383,None,,,,,,0,0,0,0,0,0,0,0,,,,,3.775050300057046,,,,,,,,,,,,,,,,,2.2363266000756994,2.2399084999924526,2.2399084999924526,3.1446183000225574,space,0.8998919000150636,None,3.144653100054711,3.1501542000332847,3.1501542000332847,3.7563442999962717,space,0.6034898000070825,None,3.766259300056845,3.775050300057046,3.775050300057046,3.775050300057046,4.332352000055835,a,0.5532916000811383,None,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
1,1,0,old2.jpg,new2.jpg,Left,space,0.8998919000150636,None,space,0.6034898000070825,None,a,0.20243539998773485,None,,,,,,0,0,0,0,0,1,1,1,,,,,4.344893700093962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.334854200016707,4.344893700093962,4.344893700093962,4.344893700093962,4.54829529998824,a,0.20243539998773485,None,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
0,0,0,,,,space,0.8998919000150636,None,space,0.6034898000070825,None,,,,apple,banana,space,0.7228671999182552,None,0,0,0,0,,,,,0,0,0,0,5.288725499995053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.548984799999744,4.553577800048515,4.553577800048515,5.276804500026628,space,0.7228671999182552,None,5.281318000052124,5.288725499995053,6.27727100008633,,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
1,1,0,,,,space,0.8998919000150636,None,space,0.6034898000070825,None,,,,muffin,cupcake,space,0.7228671999182552,None,0,0,0,0,,,,,0,1,1,1,6.282506700023077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.278608700027689,6.282506700023077,7.269871500087902,7.275536400033161,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
2,2,0,,,,space,0.8998919000150636,None,space,0.6034898000070825,None,,,,orange,tangerine,space,0.7228671999182552,None,0,0,0,0,,,,,0,2,2,2,7.275536400033161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.271370200091042,7.275536400033161,8.263425900018774,8.268794600036927,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
3,3,0,,,,space,0.8998919000150636,None,space,0.6034898000070825,None,,,,cat,dog,space,0.7228671999182552,None,0,0,0,0,,,,,0,3,3,3,8.268794600036927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2646967000328,8.268794600036927,9.256421800004318,9.2619749000296,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
4,4,0,,,,space,0.8998919000150636,None,space,0.6034898000070825,None,,,,pizza,beer,space,0.7228671999182552,None,0,0,0,0,,,,,0,4,4,4,9.2619749000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.258554100058973,9.269064099993557,10.256411400041543,10.262403400032781,,,,,,,pilot,001,2026-03-07_15h58.19.349,experiment,,2026.1.1,143.77442359628944,2026-03-07 15h58.19.805380 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25710250006523,10.269074800075032,11.262246099999174,11.25628090009559,11.256296900101006,11.303262100089341,,,,,,,,,
